root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 1, Offset: 52
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 1, Offset: 53
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 65
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 66
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 67
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 1, Offset: 54
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 68
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 1, Offset: 55
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 2, Offset: 60
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 69
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 70
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 2, Offset: 61
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 1, Offset: 56
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 1, Offset: 57
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 2, Offset: 62
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 1, Offset: 58
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 2, Offset: 63
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 71
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 1, Offset: 59
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 1, Offset: 60
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 72
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 2, Offset: 64
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 73
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 74
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 75
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 1, Offset: 61
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 2, Offset: 65
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 2, Offset: 66
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 1, Offset: 62
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 1, Offset: 63
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 76
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 1, Offset: 64
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 2, Offset: 67
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 77
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 78
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 1, Offset: 65
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 1, Offset: 66
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 1, Offset: 67
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 79
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 2, Offset: 68
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 1, Offset: 68
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 80
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 81
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 2, Offset: 69
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 1, Offset: 69
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 82
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 1, Offset: 70
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 83
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 1, Offset: 71
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 84
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 2, Offset: 70
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 85
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 1, Offset: 72
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 1, Offset: 73
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 1, Offset: 74
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 1, Offset: 75
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 86
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 1, Offset: 76
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 1, Offset: 77
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 2, Offset: 71
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 87
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 1, Offset: 78
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 2, Offset: 72
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 2, Offset: 73
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 1, Offset: 79
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 2, Offset: 74
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 88
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 89
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 90
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 91
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 1, Offset: 80
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 1, Offset: 81
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 92
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 2, Offset: 75
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 93
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 1, Offset: 82
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 1, Offset: 83
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 2, Offset: 76
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 1, Offset: 84
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 2, Offset: 77
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 2, Offset: 78
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 94
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 2, Offset: 79
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 1, Offset: 85
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 95
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 1, Offset: 86
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 96
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 97
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 98
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 1, Offset: 87
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 2, Offset: 80
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 1, Offset: 88
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 2, Offset: 81
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 1, Offset: 89
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 2, Offset: 82
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 1, Offset: 90
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 99
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 2, Offset: 83
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 1, Offset: 91
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 1, Offset: 92
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 100
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 1, Offset: 93
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 1, Offset: 94
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 1, Offset: 95
